format=1 tracks=11 division=480

BA    2   CR    1+7/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR    1+7/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR    1+7/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR   1+11/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR   1+11/24   TR  2   CH  2   Channel volume 125
BA    2   CR   1+11/24   TR  2   CH  2   ST &B1 &0A &24
BA    2   CR   1+11/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR   1+11/24   TR  4   CH  4   Channel volume 125
BA    2   CR   1+23/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     1+1/2   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     1+1/2   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     1+1/2   TR  2   CH  2   NT  C''           1/5   von=90
BA    2   CR     1+1/2   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     1+1/2   TR  4   CH  4   NT  C''           1/5
BA    2   CR     1+1/2   TR  4   CH  4   ST &B3 &0B &6E
BA    2   CR     1+1/2   TR  4   CH  4   ST &B3 &0A &66
BA    2   CR     1+1/2   TR  4   CH  4   ST &B3 &5E &28
