format=1 tracks=5 division=92

BA    8   CR    1+3/23   TR  1   CH  2   NT  C           10/23
BA    8   CR    1+3/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR    1+3/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR    1+8/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR    1+8/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR   1+13/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR   1+13/23   TR  3   CH  4   NT  Eb          10/23
BA    8   CR   1+13/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR   1+18/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR         2   TR  1   CH  2   NT  Eb          10/23
BA    8   CR         2   TR  2   CH  3   NT  C-           5/23
BA    8   CR         2   TR  3   CH  4   NT  C            5/23
BA    8   CR         2   TR  4   CH 10   NT  F#--         5/23
BA    8   CR    2+5/23   TR  3   CH  4   NT  Eb           5/23
BA    8   CR    2+5/23   TR  4   CH 10   NT  F#--        10/23
BA    8   CR   2+10/23   TR  1   CH  2   NT  C            5/23
BA    8   CR   2+10/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR   2+10/23   TR  3   CH  4   NT  G           10/23
BA    8   CR   2+10/23   TR  4   CH 10   NT  E--       1+17/23
BA    8   CR   2+15/23   TR  1   CH  2   NT  Eb           5/23
BA    8   CR   2+15/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR   2+15/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR   2+20/23   TR  1   CH  2   NT  G           10/23
BA    8   CR   2+20/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR   2+20/23   TR  3   CH  4   NT  Eb           5/23
BA    8   CR   2+20/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR    3+2/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR    3+2/23   TR  3   CH  4   NT  G            5/23
BA    8   CR    3+2/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR    3+7/23   TR  1   CH  2   NT  Eb           5/23
BA    8   CR    3+7/23   TR  2   CH  3   NT  Eb-          5/23
BA    8   CR    3+7/23   TR  3   CH  4   NT  Bb          10/23
BA    8   CR    3+7/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR   3+12/23   TR  1   CH  2   NT  G            5/23
BA    8   CR   3+12/23   TR  4   CH 10   NT  F#--         5/23
