format=1 tracks=4 division=192

BA    3   CR         2   TR  2   CH  2   NT  D'        1+95/96
BA    3   CR         2   TR  3   CH  3   NT  G#-           1/6
BA    3   CR    2+1/96   TR  2   CH  2   Channel volume 126
BA    3   CR    2+1/48   TR  2   CH  2   Channel volume 125
BA    3   CR   2+7/192   TR  2   CH  2   Channel volume 124
BA    3   CR    2+3/64   TR  2   CH  2   Channel volume 123
BA    3   CR  2+11/192   TR  2   CH  2   Channel volume 122
BA    3   CR    2+7/96   TR  2   CH  2   Channel volume 121
BA    3   CR    2+1/12   TR  2   CH  2   Channel volume 120
BA    3   CR    2+3/32   TR  2   CH  2   Channel volume 119
BA    3   CR    2+7/64   TR  2   CH  2   Channel volume 118
BA    3   CR  2+23/192   TR  2   CH  2   Channel volume 117
BA    3   CR  2+25/192   TR  2   CH  2   Channel volume 116
BA    3   CR    2+7/48   TR  2   CH  2   Channel volume 115
BA    3   CR    2+5/32   TR  2   CH  2   Channel volume 114
BA    3   CR     2+1/6   TR  2   CH  2   Channel volume 113
BA    3   CR  2+35/192   TR  2   CH  2   Channel volume 112
BA    3   CR  2+37/192   TR  2   CH  2   Channel volume 111
BA    3   CR   2+13/64   TR  2   CH  2   Channel volume 110
BA    3   CR    2+7/32   TR  2   CH  2   Channel volume 109
BA    3   CR   2+11/48   TR  2   CH  2   Channel volume 108
BA    3   CR   2+23/96   TR  2   CH  2   Channel volume 107
BA    3   CR  2+49/192   TR  2   CH  2   Channel volume 106
BA    3   CR   2+17/64   TR  2   CH  2   Channel volume 105
BA    3   CR  2+53/192   TR  2   CH  2   Channel volume 104
BA    3   CR    2+7/24   TR  2   CH  2   Channel volume 103
BA    3   CR   2+29/96   TR  2   CH  2   Channel volume 102
BA    3   CR    2+5/16   TR  2   CH  2   Channel volume 101
BA    3   CR   2+21/64   TR  2   CH  2   Channel volume 100
BA    3   CR  2+65/192   TR  2   CH  2   Channel volume 99
BA    3   CR  2+67/192   TR  2   CH  2   Channel volume 98
BA    3   CR   2+35/96   TR  2   CH  2   Channel volume 97
BA    3   CR     2+3/8   TR  2   CH  2   Channel volume 96
BA    3   CR   2+37/96   TR  2   CH  2   Channel volume 95
BA    3   CR  2+77/192   TR  2   CH  2   Channel volume 94
BA    3   CR  2+79/192   TR  2   CH  2   Channel volume 93
BA    3   CR   2+27/64   TR  2   CH  2   Channel volume 92
