format=1 tracks=4 division=1024

BA   16   CR 3+279/512   TR  1   CH  1   Channel volume 90
BA   16   CR 3+173/256   TR  1   CH  1   Channel volume 89

BA   17   CR     1/256   TR  1   CH  1   NT  F#      3+935/1024   voff=0
BA   17   CR     1/256   TR  3   CH  3   NT  A-      1+25/1024   von=69   voff=0
BA   17   CR   113/512   TR  1   CH  1   Channel volume 90
BA   17   CR    89/256   TR  1   CH  1   Channel volume 92
BA   17   CR   243/512   TR  1   CH  1   Channel volume 94
BA   17   CR   273/512   TR  2   CH  2   NT  F#       477/1024   voff=0
BA   17   CR    77/128   TR  1   CH  1   Channel volume 96
BA   17   CR   373/512   TR  1   CH  1   Channel volume 99
BA   17   CR   219/256   TR  1   CH  1   Channel volume 100
BA   17   CR   503/512   TR  1   CH  1   Channel volume 102
BA   17   CR  1+15/512   TR  2   CH  2   NT  E         237/512   von=65   voff=0
BA   17   CR    1+7/64   TR  1   CH  1   Channel volume 104
BA   17   CR 1+121/512   TR  1   CH  1   Channel volume 106
BA   17   CR  1+93/256   TR  1   CH  1   Channel volume 107
BA   17   CR 1+517/1024   TR  1   CH  1   Channel volume 108
BA   17   CR 1+535/1024   TR  2   CH  2   NT  F#       479/1024   von=64   voff=0
BA   17   CR  1+81/128   TR  1   CH  1   Channel volume 107
BA   17   CR 1+455/512   TR  1   CH  1   Channel volume 106
BA   17   CR 2+17/1024   TR  1   CH  1   Channel volume 105
BA   17   CR 2+21/1024   TR  2   CH  2   NT  F#       479/1024   von=67   voff=0
BA   17   CR 2+21/1024   TR  3   CH  3   NT  A-        507/512   von=67   voff=0
