format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    2   CR     1+3/4   TR  2   CH  2   NT  A--          5/24
BA    2   CR     1+3/4   TR  8   CH 10   NT  G---          1/8   von=123
BA    2   CR     1+3/4   TR  8   CH 10   NT  D--           1/8   von=70
BA    2   CR     1+3/4   TR  9   CH 11   ST &BA &0A &4A
BA    2   CR     1+3/4   TR  9   CH 11   NT  F             1/4
BA    2   CR   1+31/40   TR  9   CH 11   ST &BA &0A &4B
BA    2   CR     1+4/5   TR  9   CH 11   ST &BA &0A &4C
BA    2   CR   1+49/60   TR  9   CH 11   ST &BA &0A &4D
BA    2   CR   1+17/20   TR  9   CH 11   ST &BA &0A &4E
BA    2   CR   1+13/15   TR  9   CH 11   ST &BA &0A &4F
BA    2   CR   1+53/60   TR  9   CH 11   ST &BA &0A &50
BA    2   CR   1+11/12   TR  9   CH 11   ST &BA &0A &51
BA    2   CR   1+14/15   TR  9   CH 11   ST &BA &0A &52
BA    2   CR   1+29/30   TR  9   CH 11   ST &BA &0A &53
BA    2   CR   1+59/60   TR  9   CH 11   ST &BA &0A &54
BA    2   CR         2   TR  2   CH  2   NT  D-           5/24
BA    2   CR         2   TR  8   CH 10   NT  F#--          1/8   von=126
BA    2   CR         2   TR  8   CH 10   NT  C--           1/8   von=93
BA    2   CR         2   TR  8   CH 10   NT  B---          1/8
BA    2   CR         2   TR  9   CH 11   NT  F-            1/4
BA    2   CR   2+1/120   TR  9   CH 11   ST &BA &0A &55
BA    2   CR    2+1/30   TR  9   CH 11   ST &BA &0A &56
BA    2   CR   2+7/120   TR  9   CH 11   ST &BA &0A &57
BA    2   CR    2+3/40   TR  9   CH 11   ST &BA &0A &58
BA    2   CR  2+13/120   TR  9   CH 11   ST &BA &0A &59
BA    2   CR     2+1/8   TR  9   CH 11   ST &BA &0A &5A
BA    2   CR    2+3/20   TR  9   CH 11   ST &BA &0A &5B
BA    2   CR    2+7/40   TR  9   CH 11   ST &BA &0A &5C
BA    2   CR     2+1/5   TR  9   CH 11   ST &BA &0A &5D
BA    2   CR    2+9/40   TR  9   CH 11   ST &BA &0A &5E
BA    2   CR     2+1/4   TR  2   CH  2   NT  Eb--         5/24
BA    2   CR     2+1/4   TR  8   CH 10   NT  F#--          1/8   von=127
BA    2   CR     2+1/4   TR  8   CH 10   NT  G---          1/8
BA    2   CR     2+1/4   TR  8   CH 10   NT  D--           1/8   von=73
BA    2   CR     2+1/4   TR  9   CH 11   ST &BA &0A &5F
BA    2   CR     2+1/4   TR  9   CH 11   NT  F'            1/4
BA    2   CR    2+4/15   TR  9   CH 11   ST &BA &0A &60
BA    2   CR    2+3/10   TR  9   CH 11   ST &BA &0A &61
BA    2   CR   2+19/60   TR  9   CH 11   ST &BA &0A &62
BA    2   CR     2+1/3   TR  9   CH 11   ST &BA &0A &63
BA    2   CR   2+11/30   TR  9   CH 11   ST &BA &0A &64
BA    2   CR   2+23/60   TR  9   CH 11   ST &BA &0A &65
BA    2   CR  2+49/120   TR  9   CH 11   ST &BA &0A &66
BA    2   CR   2+13/30   TR  9   CH 11   ST &BA &0A &67
BA    2   CR   2+11/24   TR  9   CH 11   ST &BA &0A &68
BA    2   CR   2+29/60   TR  9   CH 11   ST &BA &0A &69
BA    2   CR     2+1/2   TR  2   CH  2   NT  Bb--         5/24
BA    2   CR     2+1/2   TR  8   CH 10   NT  G---          1/8   von=127
BA    2   CR     2+1/2   TR  8   CH 10   NT  D--           1/8   von=75
BA    2   CR     2+1/2   TR  9   CH 11   NT  F             1/4
BA    2   CR  2+61/120   TR  9   CH 11   ST &BA &0A &6A
BA    2   CR   2+21/40   TR  9   CH 11   ST &BA &0A &6B
BA    2   CR  2+67/120   TR  9   CH 11   ST &BA &0A &6C
BA    2   CR   2+23/40   TR  9   CH 11   ST &BA &0A &6D
BA    2   CR     2+3/5   TR  9   CH 11   ST &BA &0A &6E
BA    2   CR     2+5/8   TR  9   CH 11   ST &BA &0A &6F
BA    2   CR   2+13/20   TR  9   CH 11   ST &BA &0A &70
BA    2   CR     2+2/3   TR  9   CH 11   ST &BA &0A &71
BA    2   CR    2+7/10   TR  9   CH 11   ST &BA &0A &72
BA    2   CR   2+43/60   TR  9   CH 11   ST &BA &0A &73
BA    2   CR     2+3/4   TR  2   CH  2   NT  Eb-          5/24
BA    2   CR     2+3/4   TR  8   CH 10   NT  B---          1/8   von=102
BA    2   CR     2+3/4   TR  8   CH 10   NT  F#--          1/8   von=127
BA    2   CR     2+3/4   TR  8   CH 10   NT  C--           1/8   von=102
BA    2   CR     2+3/4   TR  9   CH 11   ST &BA &0A &74
BA    2   CR     2+3/4   TR  9   CH 11   NT  F-            1/4
BA    2   CR   2+23/30   TR  9   CH 11   ST &BA &0A &75
BA    2   CR   2+47/60   TR  9   CH 11   ST &BA &0A &76
BA    2   CR   2+49/60   TR  9   CH 11   ST &BA &0A &77
BA    2   CR     2+5/6   TR  9   CH 11   ST &BA &0A &78
BA    2   CR 2+103/120   TR  9   CH 11   ST &BA &0A &79
BA    2   CR   2+53/60   TR  9   CH 11   ST &BA &0A &7A
BA    2   CR 2+109/120   TR  9   CH 11   ST &BA &0A &7B
BA    2   CR   2+37/40   TR  9   CH 11   ST &BA &0A &7C
BA    2   CR   2+23/24   TR  9   CH 11   ST &BA &0A &7D
BA    2   CR   2+39/40   TR  9   CH 11   ST &BA &0A &7E
BA    2   CR 2+119/120   TR 10   CH 12   ST &EB &7F &7F
BA    2   CR         3   TR  2   CH  2   NT  E--          5/24
BA    2   CR         3   TR  8   CH 10   NT  G-            1/8   von=98
BA    2   CR         3   TR  8   CH 10   NT  D--           1/8   von=78
BA    2   CR         3   TR  8   CH 10   NT  A-            1/8   von=98
BA    2   CR         3   TR  8   CH 10   NT  G---          1/8   von=127
BA    2   CR         3   TR  8   CH 10   NT  F#--          1/8
BA    2   CR         3   TR  9   CH 11   ST &BA &0A &7F
BA    2   CR         3   TR 10   CH 12   NT  Bb-             1   von=110
BA    2   CR         3   TR 10   CH 12   NT  B-              1
BA    2   CR         3   TR 10   CH 12   NT  C               1
BA    2   CR         3   TR 10   CH 12   ST &EB &00 &7A
BA    2   CR   3+1/120   TR 10   CH 12   ST &EB &00 &74
BA    2   CR    3+1/60   TR  8   CH 10   NT  E----         1/8
BA    2   CR    3+1/60   TR 10   CH 12   ST &EB &00 &6D
BA    2   CR    3+1/40   TR 10   CH 12   ST &EB &00 &67
BA    2   CR    3+1/24   TR 10   CH 12   ST &EB &00 &60
BA    2   CR    3+1/20   TR 10   CH 12   ST &EB &00 &5A
BA    2   CR   3+7/120   TR 10   CH 12   ST &EB &00 &54
BA    2   CR    3+1/15   TR 10   CH 12   ST &EB &00 &4D
BA    2   CR    3+3/40   TR 10   CH 12   ST &EB &00 &47
BA    2   CR  3+11/120   TR 10   CH 12   ST &EB &00 &40
BA    2   CR     3+1/8   TR 10   CH 12   ST &EB &00 &40
BA    2   CR    3+3/20   TR 10   CH 12   ST &EB &00 &3F
BA    2   CR  3+19/120   TR 10   CH 12   ST &EB &00 &3E
