format=1 tracks=5 division=480

BA    8   CR     19/60   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR       1/3   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   169/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    59/160   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR     31/80   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    97/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   101/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   211/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    73/160   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR     19/40   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    59/120   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR       1/2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    8   CR       1/2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    8   CR       1/2   TR  4   CH 10   NT  B--           1/4   voff=80
BA    8   CR       1/2   TR  4   CH 10   NT  A--           1/4   voff=80
BA    8   CR       1/2   TR  4   CH 10   NT  G--           1/4   voff=80
BA    8   CR       1/2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    8   CR     49/96   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   253/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   131/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR      9/16   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   139/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   287/480   TR  1   CH  2   ST &E1 &00 &4C
BA    8   CR     59/96   TR  1   CH  2   ST &E1 &00 &4C
BA    8   CR     19/30   TR  1   CH  2   ST &E1 &00 &4C
BA    8   CR     13/20   TR  1   CH  2   ST &E1 &00 &4C
BA    8   CR   107/160   TR  1   CH  2   ST &E1 &00 &4D
BA    8   CR   329/480   TR  1   CH  2   ST &E1 &00 &4D
BA    8   CR   169/240   TR  1   CH  2   ST &E1 &00 &4D
BA    8   CR   173/240   TR  1   CH  2   ST &E1 &00 &4D
BA    8   CR     59/80   TR  1   CH  2   ST &E1 &00 &4D
BA    8   CR       3/4   TR  3   CH  3   NT  D-           3/16   voff=80
