format=1 tracks=15 division=96

BA    1   CR       1/2   TR 14   CH 16   NT  C--         47/96   voff=0
BA    1   CR         1   TR  1   CH  1   NT  Bb--        47/96
BA    1   CR         1   TR  2   CH  2   NT  G-          47/96
BA    1   CR         1   TR  7   CH  7   NT  Bb--        47/96
BA    1   CR         1   TR  7   CH  7   NT  G-          47/96
BA    1   CR         1   TR 10   CH 10   NT  D--         47/96
BA    1   CR         1   TR 10   CH 10   NT  F#--        47/96   von=80
BA    1   CR         1   TR 13   CH 15   NT  Bb--        47/96   voff=0
BA    1   CR         1   TR 13   CH 15   NT  Bb---       47/96   voff=0
BA    1   CR         1   TR 14   CH 16   NT  Bb---       47/96   voff=0
BA    1   CR     1+1/2   TR  1   CH  1   NT  C-          47/96
BA    1   CR     1+1/2   TR  7   CH  7   NT  C-          47/96
BA    1   CR     1+1/2   TR 10   CH 10   NT  F#--        47/96
BA    1   CR     1+1/2   TR 13   CH 15   NT  C-          47/96   voff=0
