format=1 tracks=11 division=96

BA    5   CR     1+1/4   TR  5   CH  4   NT  B             3/4
BA    5   CR     1+1/4   TR 10   CH 10   NT  Bb'           1/4   von=127
BA    5   CR     1+3/4   TR  2   CH  1   NT  E-            1/4
BA    5   CR         2   TR  2   CH  1   NT  D-          2+1/4
BA    5   CR         2   TR  3   CH  2   NT  D--         2+1/4
BA    5   CR         2   TR  5   CH  4   NT  A           2+1/4
BA    5   CR         2   TR  7   CH  6   NT  F#-         2+1/4
BA    5   CR         2   TR  7   CH  6   NT  D-          2+1/4
BA    5   CR         2   TR 10   CH 10   NT  Bb'           1/4
BA    5   CR     2+1/2   TR  2   CH  1   NT  A-            1/4
BA    5   CR     2+3/4   TR  2   CH  1   NT  F#            1/2
BA    5   CR     2+3/4   TR 10   CH 10   NT  Bb'           1/4
BA    5   CR     3+1/4   TR  2   CH  1   NT  D             1/4
BA    5   CR     3+1/2   TR  2   CH  1   NT  F#            1/2
BA    5   CR     3+1/2   TR 10   CH 10   NT  Bb'           1/4

BA    6   CR         0   TR  2   CH  1   NT  A-            1/4
BA    6   CR       1/4   TR  2   CH  1   NT  A--         2+1/4
BA    6   CR       1/4   TR  3   CH  2   NT  E--           1/2
BA    6   CR       1/4   TR  5   CH  4   NT  E           2+1/4
BA    6   CR       1/4   TR  7   CH  6   NT  E-          2+1/4
BA    6   CR       1/4   TR  7   CH  6   NT  C#-         2+1/4
BA    6   CR       1/4   TR 10   CH 10   NT  Bb'           1/4
BA    6   CR     29/96   TR  2   CH  1   NT  C#-         2+1/4
BA    6   CR     17/48   TR  2   CH  1   NT  E-          2+1/4
